adulterant,source
christmas hampers,rasff
chromium,rasff
chromium amino acid chelate,rasff
chromium nicotinate,rasff
"chromium nicotinate, calcium potassium phosphate-citrate, zinc glycinate chelate, copper glycinate chelate, manganese glycinate chelate",rasff
chromium polynicotinate,rasff
"cinnamomum camphora (var. cineole type) fractions (1,8-cineole rich)",usp
cinnamon leaf oil,usp
ciprofloxacin,ema
citral,usp
citrate,rasff
citric acid,usp
citric acid,rasff
citric acid,ema
citric acid (c4 or paraffin derived),usp
citric acid from non-authentic source,usp
"citronella oil (java type, cymbopogon winterianus)",usp
"citrulline malate, arginine alphaketoglutarate, beta-alanine",rasff
"citrulline malate, beta-alanine",rasff
citrus oils of non-authentic origin,usp
citrus peel extract,usp
clay,usp
cleaning lye,rasff
clenbuterol,ema
"clove fractions, eugenol, and cinnamic aldehyde",usp
clove stem oil and isolates (eugenol) and eugenyl acetate,usp
coagulant,ema
cochineal color from non-authentic geographic origin,usp
cochinela dye,usp
cockspur grass,ema
cocoa butter replacer,usp
cocoa butter substitute,usp
cocoa husks,usp
cocoa shells,ema
coconut hulls,usp
coconut oil,ema
coconut oil,usp
cod,ema
cod (gadus morhua),usp
"cod, baltic sea",usp
coffee (robusta),usp
coffee (robusta),usp
coffee husk,usp
coffee husk or cereals,usp
coffee husk or parchment,usp
coffee husks,usp
coffee husks/parchment,usp
coffee husks/parchments,usp
coffee of non-authentic botanical origin,usp
coffee of non-authentic geographic origin,usp
coffee of non-authentic origin,usp
coffee of non-authentic species,usp
coffee twigs,usp
collagenic animal protein,ema
color,rasff
color additive,usp
color additive,fda
color additives,usp
color basic red 46,rasff
color butter yellow,rasff
color chilli sauce,rasff
color fast garnet,rasff
color gardenia yellow,rasff
"color gardenia yellow, flavonoid",rasff
color methyl yellow,rasff
color migration,rasff
color orange ii,rasff
color orange rn,rasff
color para red,rasff
color red sandalwood extract,rasff
color red yeast rice,rasff
color rhodamine b,rasff
color rose bengal,rasff
color rosella extract,rasff
color sudan,rasff
color sudan 1,rasff
"color sudan 1,sudan 3",rasff
color sudan 3,rasff
color sudan 4,rasff
color sudan red b,rasff
color toluidine red,rasff
colorants,usp
colorants,ema
colored corn silk fibers,usp
colored corn strings,usp
colored grass,usp
colored grass seeds,usp
colored saw dust,usp
colored sawdust,usp
colored seeds from non-authentic plant,usp
colored tea leaves,usp
coloring agents,ema
colors,usp
colors,ema
commercial glucose,ema
common vetch (vicia sativa l.),usp
common wheat (triticum aestivum),usp
concrete,usp
condemned/contaminated chicken meat,usp
contaminated water,ema
contaminated with dioxins,ema
cooking oil,usp
copper,rasff
"copper chelate, manganese chelate, iron amino acid chelate, zinc amino acid chelate, potassium chelate",rasff
copper chlorophyllin,usp
copper cholorphyllin,ema
copper complexes of chlorophylls and chlorophyllins,ema
copper salts,usp
coriander,ema
coriander husk,usp
corn,usp
corn,ema
corn additives,ema
corn derived sweeteners,usp
corn flour,usp
corn flour and bengal gram (cicer arietinum),usp
corn oil,usp
corn silk colored with red dye,usp
corn starch,ema
corn sugar,ema
corn sugar,usp
corn syrup,ema
corn syrup,usp
corn syrup and beet or cane invert syrup,usp
"corn syrup, inverted syrups, or high-fructose corn syrup",usp
corn-derived vinegar,usp
cornmint oil (mentha antensis),usp
cornmint oil (mentha arvensis),usp
cornmint oil from mentha arvensis var. piperascens,usp
corrosion of,rasff
corvina,ema
cosmetic-grade oils,ema
cotton,usp
cotton seed oil,ema
cottonseed oil,ema
cottonseed oil,usp
cough medicine,ema
coumaphos (organophosphate insecticide),ema
coumarin,rasff
coumarin,fda
counterfeit,ema
counterfeit alcohol,ema
counterfeit borjomi mineral water,ema
counterfeit chocolate bars,ema
counterfeit cocoa powder,ema
counterfeit coffee,ema
counterfeit cognac,ema
counterfeit custard powder,ema
counterfeit fruit juice,ema
counterfeit ghee,ema
counterfeit infant formula,ema
counterfeit jamaican mountain blue coffee,ema
counterfeit juice,ema
counterfeit ketchup,ema
counterfeit likani mineral water,ema
counterfeit nestle milo,ema
counterfeit oil,ema
counterfeit red bull,ema
counterfeit smirnoff vodka,ema
counterfeit soft drinks,ema
counterfeit spaghetti,ema
counterfeit vodka,ema
counterfeit whisky,ema
counterfeit wine,ema
cow tallow,usp
cow's cheese,usp
cow's milk,ema
cracker meal,usp
crawfish,ema
crimson snapper,ema
cristalsulphate,rasff
crocus's yellow stamen,usp
crushed insects,ema
crustacean of non-authentic species,usp
csr 30 rice,ema
cum (or keta) salmon,ema
cuminaldehyde,usp
curcuma (curcuma longa l.),usp
curcuma zedoaria,usp
curcuma zedoaria powder,usp
curcumin,rasff
curcumin,usp
curcumin dye,usp
curuma,usp
cyanamide,usp
cyanide,ema
cyanide,rasff
cyanuric acid,usp
cyanuric acid,ema
cyclamate,rasff
cyclamate,ema
cyclamate,fda
cynoglossus senegalensis,usp
cynoscion virescenes [common name weakfish or corvina],ema
cyromazine,rasff
cyromazine,usp
d-aspartic acid,rasff
d-malic acid,usp
dalda,ema
damaged olives,ema
damaged or overripe olives,ema
dasyatis bennetti,ema
decyltrimethylammonium chloride (antimicrobial compound),usp
defatted cloves,usp
defatted paprika,usp
deg,rasff
dehydrated red beets,usp
dehydroepiandrosterone,rasff
denatured rapeseed oil not fit for consumption,ema
detergent,usp
detergent,ema
detergent,rasff
dextrin,usp
dextrose,ema
dextrose,usp
dextrose or disaccahrides,usp
dextrose syrup,usp
di-(2-ethylhexyl)phthalate (dehp),usp
di-2-ethylhexyl phthalate (dehp),usp
di-isononyl phthalate (dinp),usp
di-n-octyl phthalate (dnop),usp
dibutyl phthalate,ema
dibutyl phthalate (dbp),usp
dicyandiamide,usp
diesel oil,rasff
diet pills,rasff
dietary supplement,fda
diethylene glycol,rasff
diethylene glycol,usp
diethylene glycol,ema
diethylhexyl phthalate,ema
diethylhexyl pthalate (dehp),ema
diisobutyl phthalate,usp
diisobutyl phthalate,ema
diisodecyl phthalate (didp),usp
diisononyl phthalate (dinp),usp
"diluent solvents including: abitol, benzyl alcohol, benzyl benzoate, carbitol (diethylene glycol monoethyl ether), diacetone alcohol, dipropylene glycol, dipropylene glycol methyl ether and tripropylene glycol methyl ether, hydrogenated methyl ester of ro",usp
dimethyl yellow,ema
dimethylsildenafil,rasff
dioxin-like polychlorobifenyls,rasff
dioxins,rasff
diphosphate,rasff
disodium diphosphate,rasff
disodium ethylene diamine tetra acetate,rasff
distilled oils,usp
dl-malic acid,usp
dog (canine) meat,usp
dogfish,ema
donkey,ema
doxylamine,rasff
dried fruit of west indian lantana (lantana camara),usp
dry milk,usp
duck protein,rasff
dulcin,fda
dung,usp
dung powder,usp
dushuqiang,ema
dusky cob,ema
dust,ema
dye,ema
dyed pork,usp
dyed saw dust,ema
dyed strips of other parts of the saffron plant (stamens or perigonia),usp
dyes,ema
dyes,usp
e 260 synthetic acetic acid,rasff
e. coli,ema
e.coli,fda
e141 food additive,ema
earth material/powdered stone,usp
edible oil,ema
elderberry pigments,usp
emperor fish,ema
emperor snapper,ema
engine oil,usp
enrofloxacin,ema
enterobacteriaceae,rasff
ephedrine,rasff
ephedrine alkaloids,fda
epigallocathechine gallate,rasff
erucic acid,rasff
erythorbic acid,rasff
erythrosine,rasff
erythrosine,usp
escolar,ema
"escolar (lepidocybium
flavobrunneum)",usp
essential oils,usp
ethanol,rasff
ethanol,ema
"ethanol, methanol, or water",usp
"ethyl esters of aliphatic acids (e.g., ethyl oenanthate)",usp
ethyl maltol,usp
ethyl maltol,rasff
ethyl tertiairy buthyl ether,rasff
ethyl vanillin,usp
ethyl-p-hydroxybenzoate,rasff
ethylcarbamate,rasff
ethylene glycol,usp
ethylenediaminetetraacetic acid,rasff
"eucalyptus and white camphor oil fractions, spanish sage oil",usp
eucalyptus citriodora,usp
eucalyptus oil (eucalyptus globulus) and camphor oil white (cinnamomum camphora),usp
evodiamine,rasff
expired beef,ema
expired broiler turkeys,ema
expired buns,ema
expired chicken,ema
expired chicken feet,ema
expired drinks,ema
expired duck meat,ema
expired ground beef,ema
expired meat,ema
expired milk,ema
expired milk powder,ema
expired products,ema
expired smoked sausage,ema
expired vegetables,ema
expressed lime or grapefruit oil,usp
extra virgin olive oil from non-authentic botanical origin or geographic region,usp
extra virgin olive oil of non-authentic botanical origin,usp
fabric dye,usp
fake alomo bitters,ema
"fake eggs made of alginic acid, potassium, calcium chloride, gelatin,
paraffin, artificial coloring and water",usp
fake liquor,ema
fake milk,usp
"fake milk (oil, urea, detergent, caustic soda, sugar, salt, and skim milk powder)",usp
fake milk containing sodium bicarbonate,usp
fake milk with anionic detergents,usp
fake protein powder with melamine,usp
fake rice made from plastic resin and potato starch,usp
fake shrimp paste,usp
fake vodka,usp
"fake, engineered eggs",usp
false black pepper (embelia ribes),usp
farina wheat,usp
farm raised asian catfish,usp
farm raised non-us shrimp,usp
farm-raised asian catfish,ema
farm-raised atlantic salmon (salmo salar),usp
farm-raised salmon,ema
farm-raised shrimps from outside of the usa,ema
fast green fcf / fd&c green,rasff
fat trimmings,usp
fatty aldehydes and monoterpene alcohols and esters to terpeneless and folded citrus oils,usp
fd&c red no. 3,ema
fd&c red no. 40,ema
fd&c yellow #5,fda
fd&c yellow no. 5,ema
fd&c yellow no. 6,ema
fennel seeds,usp
fennel seeds,ema
fennel seeds coated with marble dust,usp
fenthion,rasff
fenugreek gum,usp
fermentation derived vanillin,usp
ferrous glucomate,rasff
fibers of dried animal meats,usp
fig juice,usp
figs,usp
fine plastic crystals,ema
fish,ema
fish of non-authentic species,usp
flathead sole,usp
flavor-enhanced soybean oil,ema
flavoring agents,ema
flavors,ema
flavourings,ema
flax,usp
floral waste,usp
flour,usp
flour,ema
flowers from arnica,usp
flowers from calendula,usp
flowers from calendula (calendula officinalis l.) colored with methyl orange,usp
flowers from curcuma,usp
flowers from marigold,usp
"flowers from non-authentic botanical origin cut into strips (papaver rhoeas l., punica granatum l., arinica montana l., or scolymus hispanicus l.)",usp
flowers from safflower (carthamus tinctorius l.),usp
flunixin,ema
fluoride,rasff
folic acid,rasff
food additive cellulose acetate phtalate,rasff
food additive formic acid,rasff
food additive isopropyl alcohol,rasff
food additive propylene oxide,rasff
food additive sodium polyacrylate,rasff
food additive white mineral oil,rasff
food coloring,ema
food gums,usp
food starches,usp
food supplement,rasff
food supplements,rasff
foreign farm-raised shrimp,ema
formaldehyde,ema
formaldehyde,usp
formalin,ema
formol,rasff
fox,ema
fox meat,ema
fragrance,ema
fraud with,rasff
free fatty acids,rasff
free glucose or sucrose,usp
frigate mackerel (auxis thazard),usp
frozen turkey breast,rasff
frozen whole cleaned cuttlefish,rasff
fructose,usp
fructose and glucose mixture,usp
fructose syrup,usp
"fructose, glucose, and sucrose",usp
fruit from non-authentic botanical origin,usp
fruit jelly cups,rasff
fruit jelly mix,rasff
fruit juice,ema
fruit puree from non-authentic botanical origin,usp
fuchsin color,usp
fulvic acid,rasff
fumaric acid,rasff
fungus,ema
furazolidone,ema
galeorhinus galeus [market names: shark or school shark],ema
gamma butyrolactone,rasff
gamma-aminobutyric acid,rasff
"gamma-terpinene, dimethyl anthranilate, alpha-sinesal, and perilla aldehyde to convert to mandarin oil (citrus reticulata var. mandarin)",usp
gammahydroxibutyrate,rasff
garcinia cambogia desr,rasff
gardenia yellow dye,usp
gelatin,ema
gelatin,usp
gelatin of non-authentic animal origin (porcine or bovine),usp
gelatine (bovine),usp
gelatine (porcine),usp
genidens barbus [common name white sea catfish or bagre],ema
geraniol,usp
"germanium, lithium",rasff
giant pangasius [pangasius sanitwongsei],ema
ginger,rasff
ginseng,fda
ginseng of non-authentic botanical origin,usp
"ginseng, american (panax quinquefolius)",usp
"ginseng, chinese (panax ginseng)",usp
giraffe,ema
glauber's salt,usp
glucose,usp
glucose,ema
glucose and fructose,usp
glucose syrup,usp
glue,ema
glutamates,rasff
glutamic acid,usp
glutamic acid,rasff
gluten,ema
gluten,rasff
glycerin,usp
glycerine,usp
glycerol monocaprylate,ema
glycine,rasff
glycine,ema
glycine,usp
glyerin,usp
goat,ema
goat fat,usp
goat meat,ema
gold,rasff
goldbanded jobfish,ema
golden corn flavor,ema
golden pompano,ema
grain flours,usp
"grains or legumes (wheat, barley, kidney bean, etc.)",usp
grape derived juices or wines,usp
grape juice,usp
grape juice and grape skin color,usp
grape seed oil,usp
grape wine from non-authentic botanical origin,usp
grape wine from non-authentic geographic origin,usp
grapefruit juice,usp
grapefruit juice plus synthetic sugar/acid mixture,usp
grapefruit oil,usp
grapeseed oil,usp
grapeseed oil (desterolilzed),usp
grass powder,usp
grass seeds colored with charcoal dust,usp
greek olive oil,ema
green colorant,ema
green dye,usp
green jobfish,ema
green jobfish (jobfish or snapper),ema
green s,rasff
green weak fish,ema
greenling,ema
grit,ema
ground coconut shells,usp
ground corn,usp
ground mustard husks,usp
ground nut flour,usp
ground olive stone,usp
ground papaya seeds,usp
ground peanut shells,usp
ground pepper husks,usp
ground pork meat,usp
ground red pepper (capsicum annuum l.),usp
ground rice,usp
grouper,usp
grouper (farm-raised),usp
growth hormone releasing peptide -2,rasff
guaiacol,rasff
guanidine,usp
guar gum,usp
guggulsterone,rasff
gum,usp
gum,ema
gum from acacia seyal,usp
gum from combretum erythrophyllum,usp
gum from non-authentic botanical origin,usp
gum talha (acacia seyal),usp
gurjun balsam (dipterocarpus spp.),usp
gurjun balsam oil,usp
gutter oil,ema
gutter oil (recycled oil),usp
gypsum,usp
gypsum powder,ema
hackleback roe,ema
haddock,ema
haddock,usp
haddock (china origin),usp
haddock (melanogrammus aeglefinus),usp
haddok,ema
hake,ema
hake fish of non-authentic species,usp
hake or coley fish,usp
hazardous materials,ema
hazelnut oil,usp
heat-processed milk,usp
heavy metals,rasff
heliotrope oil,ema
hepatitis a virus,fda
herb,rasff
herbaceous plants cut into strips and dyed with azo or cochineal dye,usp
herbs,rasff
herring,usp
hexamethylene tetramine,rasff
hexavalent chromium,ema
high linoleic/oleic sunflower oil,usp
high oleic sunflower oil,usp
high oleic-acid sunflower oil,usp
high-fructose corn syrup,ema
high-fructose corn syrup,usp
"high-fructose corn syrup, cane sugar hydrolysates, or beet sugar hydrolysates",usp
high-fructose inulin syrup,usp
high-fructose syrup,usp
high-oleic seed oil of non-authentic botanical origin,usp
high-oleic sunflower oil,usp
histamine,fda
histamine,rasff
histidine,usp
ho oil rectified (cinnamomum spp.) and acetylated ho or acetylated lavandin oils,usp
hogget,ema
honey,usp
honey,ema
honey from non-authentic botanical or geographic origin,usp
honey from non-authentic botanical origin,usp
honey from non-authentic geographic origin,usp
honey from non-authentic geographic region,usp
honey of non-authentic botancial origin,usp
honey of non-authentic botanical or geographic origin,usp
honey of non-authentic botanical origin,usp
honey of non-authentic geographic or botanical origin,usp
honey of non-authentic geographic origin,usp
honey of non-authentic geographic origin),usp
honey with chloramphenicol,usp
horse meat,ema
horse meat,usp
husks,ema
hydrocarbons,ema
hydrochloric acid,ema
hydrogen peroxide,rasff
hydrogen peroxide,ema
hydrogen peroxide,usp
hydrogenated fats,usp
hydrogenated soybean oil,usp
hydrogenated vegetable oil,usp
hydrolyzed inulin,usp
hydrolyzed leather,usp
hydroxymethylfurfural,ema
hydroxymethylfurfural,rasff
hydroxyproline,usp
hypochlorite,usp
hypochlorite,ema
"idebenone, vinpocetine, vincamine",rasff
illegal import of,rasff
illegal sulphites,ema
illegal trade of,rasff
imitation carbonated beverage,ema
imitation cheese products,ema
imitation crab,ema
imitation scallops,ema
imitation shark fin,ema
imported olive oil,ema
imported sugar,ema
impure water,ema
indian geranium oil,usp
indigotine / indigo carmine,rasff
indonesian patchouli oil blended with the cheaper chinese oil,usp
industrial alcohol,ema
industrial alcohol,usp
industrial chemicals,ema
industrial gelatin dervied from waste leather,usp
industrial grade salt,ema
industrial oils contaminated with triorthocresyl phosphate (tocp),usp
industrial salt,usp
industrial salts,ema
industrial solvents,ema
industrial sugar syrups,usp
industrial synthetic resins,ema
infant formula with soy or dairy allergens,usp
inner coating peeling off,rasff
insects,ema
insufficient alcohol levels,ema
insufficient weight,ema
invert beet sugar,usp
invert cane sugar,usp
invert sugar,usp
invert sugar,ema
invert sugar syrup,usp
invert sugar syrups,usp
invert syrups (beet or cane),usp
inverted beet syrup,usp
inverted cane sugar,usp
inverted cane syrup,usp
inverted sugar,usp
inverted syrup,usp
iodine,ema
iodine,rasff
iranian saffron,ema
iron,rasff
iron filings,usp
irradiation,rasff
isobutyl angelate and bisabolols,usp
isobutylidene diurea,usp
isoglucose syrup,usp
isoleucine,usp
isopropanol,ema
isopropyl,ema
isopropyl alcohol,usp
isurus oxyrinchus [shark,ema
japanese amberjack,ema
japanese mashrooms,ema
japanese sea bass,ema
japanese sea bass (lateolabrax japonicus),usp
japanese seabass (lateolabrax japonicus),usp
japanese star anise,ema
japanese star anise (illicium anisatum linn),usp
jelly mini-cups containing agar e 406,rasff
jelly mini-cups containing carrageenan e 407,rasff
jellyfish,ema
john dory,usp
juice from non-authentic botanical origin,usp
juice from non-authentic fruit,usp
juice from non-authentic geographic origin,usp
juice of non-authentic botanical origin,usp
juniper berry,usp
k acesulfame,ema
kaempferol,usp
kangaroo,ema
kangaroo meat,ema
kerosence,usp
kerosene oil,rasff
kesari dal,usp
khesari dal,ema
khesari dal (lathyrus sativus),usp
khesari dal or lathyrus sativus,usp
"king mackerel (scomberomorus
cavalla)",usp
kleingrass,ema
konjac,rasff
konjac gum,usp
l-alanine,ema
l-arginine,ema
l-carnitine fumarate,rasff
l-glutamine,ema
l-isoleucine,ema
l-leucine,ema
l-lysine,ema
l-lysine hydrochloride,ema
l-threonine,ema
l-tryptophan,rasff
l-valine,ema
l. citriodora herb distilled over lemon oil,usp
lactose,usp
lactose,rasff
lake victoria perch,ema
lake victoria perch,usp
lamb,ema
lamb meat,ema
lamb oil,ema
lambsquarters,ema
lamp oil,ema
lampante oil,ema
lampante or refined olive oil,usp
lane snapper,ema
lane snapper (lutjanus synagris),usp
lard,usp
larimichthys crocea,ema
lasalocid sodium,ema
lascadoil,ema
lavandin (lavandula x intermedia) oil varieties,usp
lead,rasff
lead,usp
lead,fda
lead chromate,ema
lead chromate,usp
lead oxide,ema
lead oxide,rasff
lead oxide,usp
lead tetraoxide,usp
lead tetroxide,usp
leafy greens,ema
leather-hydrolyzed protein,ema
leaves from cistus,usp
leaves from indigofera plants,usp
"leaves from non-authentic botanical origin (rhus coriaria l., cistus spp., or rubus spp.)",usp
leaves from non-authentic plants,usp
leaves from plumbago plants,usp
leaves from sumac,usp
